Bogota,London,plane,20,2653,,,,,,,
Bogota,London,plane,29.2,1080,,,,,,,
Bogota,Panama,plane,1.57,446,,,,,,,
Bogota,Pretoria (Use Johannesburg),plane,17,1982,,,,,,,
Bogota,Pretoria (Use Johannesburg),plane,27.92,2557,,,,,,,
Bogota,Quito,plane,1.5,200,,,,,,,
Bogota,Singapore,plane,32.98,2110,,,,,,,
Bogota,Singapore,plane,29,3581,,,,,,,
Bogota,Washington DC,plane,10,696,,,,,,,
Bogota,Washington DC,plane,5.25,574,,,,,,,
Brasilia,Asuncion,bus,17,89,,,,,,,
Brasilia,Bogota,plane,5.17,766,,,,,,,
Brasilia,Bogota,plane,13,1215,,,,,,,
Brasilia,Canberra (Use Sydney),plane,52,2804,,,,,,,
Brasilia,Canberra (Use Sydney),plane,27,2831,,,,,,,
Brasilia,Caracas,bus,89,244,,,,,,,
Brasilia,Cayenne,truck,24.2,321.68,,,,,,,
Brasilia,La Paz,plane,15.5,747,,,,,,,
Brasilia,Lima,plane,9,1056,,,,,,,
Brasilia,Lima,plane,27,891,,,,,,,
Brasilia,London,plane,18,1588,,,,,,,
Brasilia,London,plane,18,2472,,,,,,,
Brasilia,Montevideo,bus,11,170,,,,,,,
Brasilia,Pretoria (Use Johannesburg),plane,30,1352,,,,,,,
Brasilia,Pretoria (Use Johannesburg),plane,13,1170,,,,,,,
Brasilia,Quito,plane,16,961,,,,,,,
Brasilia,Singapore,plane,36,2446,,,,,,,
Brasilia,Singapore,plane,42,4966,,,,,,,
Brasilia,Washington DC,plane,27,1437,,,,,,,
Brasilia,Washington DC,plane,24,1279,,,,,,,
Bratislava,Budapest,train,2.6,16.8,,,,,,,
Bratislava,Kiev,train,28,225,,,,,,,
Bratislava,Prague,train,6,32.64,,,,,,,
Bratislava,Prague,bus,4,15.67,,,,,,,
Bratislava,Warsaw,bus,13.53,61.67,,,,,,,
Brazzaville,Bangui,plane,19.5,752,,,,,,,
Bridgetown,Canberra (Use Sydney),plane,50.75,2360,,,,,,,
Bridgetown,Kingstown,boat,3.5,90,,,,,,,
